Run,Time,Size,Missingness,SelfWeight,Degree,TimeSteps,Fit
4.0,3.0,10.0,0.1,0.8,9.0,6.0,0.09609334540734303
4.0,4.0,10.0,0.1,0.8,9.0,6.0,0.11591723701330371
4.0,5.0,10.0,0.1,0.8,9.0,6.0,0.12336793964345122
4.0,6.0,10.0,0.1,0.8,9.0,6.0,0.123706376530917
4.0,7.0,10.0,0.1,0.8,9.0,6.0,0.12048944077389141
4.0,8.0,10.0,0.1,0.8,9.0,6.0,0.1158084100275195
4.0,9.0,10.0,0.1,0.8,9.0,6.0,0.11078482278807515
4.0,10.0,10.0,0.1,0.8,9.0,6.0,0.10596023392028983
4.0,11.0,10.0,0.1,0.8,9.0,6.0,0.10155456694756948
4.0,12.0,10.0,0.1,0.8,9.0,6.0,0.09762419478992694
4.0,13.0,10.0,0.1,0.8,9.0,6.0,0.09415208861009534
4.0,14.0,10.0,0.1,0.8,9.0,6.0,0.09109506653923032
4.0,15.0,10.0,0.1,0.8,9.0,6.0,0.08840582626951583
4.0,16.0,10.0,0.1,0.8,9.0,6.0,0.08604137701980329
4.0,17.0,10.0,0.1,0.8,9.0,6.0,0.08396492063308585
4.0,18.0,10.0,0.1,0.8,9.0,6.0,0.082145099704442
4.0,19.0,10.0,0.1,0.8,9.0,6.0,0.08055457111559441
4.0,20.0,10.0,0.1,0.8,9.0,6.0,0.07916874240315974
5.0,1.0,10.0,0.1,0.8,9.0,6.0,0.040467512141071034
5.0,2.0,10.0,0.1,0.8,9.0,6.0,0.07907568038612095
5.0,3.0,10.0,0.1,0.8,9.0,6.0,0.09186842410074274
5.0,4.0,10.0,0.1,0.8,9.0,6.0,0.12045313748609124
5.0,5.0,10.0,0.1,0.8,9.0,6.0,0.12350677350728421
5.0,6.0,10.0,0.1,0.8,9.0,6.0,0.14298824743464353
5.0,7.0,10.0,0.1,0.8,9.0,6.0,0.14187447748629792
5.0,8.0,10.0,0.1,0.8,9.0,6.0,0.15468167978534178
