Run,Size,Missingness,SelfWeight,Degree,TimeSteps,Recovery,MeanDegree,MeanSelfWeight,Fit,RMSETime
4.0,4.0,0.0,0.5,2.0,3.0,0.13105440243666994,2.0,0.5538115453992857,0.004974526518843878,7.210663695706944e-9
5.0,4.0,0.0,0.5,2.0,3.0,0.03486292646729099,2.0,0.646017383147305,0.002225168405210875,4.6686177929836216e-5
6.0,4.0,0.0,0.5,2.0,3.0,0.04025058005415824,1.5,0.43312676436471576,0.006213464647969615,1.955350754315192e-5
7.0,4.0,0.0,0.5,2.0,3.0,0.0370551656442125,2.0,0.5657384237954842,0.0005189762170903976,7.84359370349108e-5
8.0,4.0,0.0,0.5,2.0,3.0,0.0353068328434614,2.5,0.3511944970184708,0.000980506549578296,9.561202340311129e-9
9.0,4.0,0.0,0.5,2.0,3.0,0.0919809693577534,2.0,0.4611610624669086,0.003367750637372866,1.0372916155266577e-6
10.0,4.0,0.0,0.5,2.0,3.0,0.08839261695720288,2.5,0.6232198168490402,0.006772807187345009,2.2878820741374847e-5
1.0,4.0,0.0,0.5,2.0,6.0,0.00017596493877133172,1.5,0.4488136149910157,1.4386313939489221e-5,6.471466873712027e-6
2.0,4.0,0.0,0.5,2.0,6.0,0.001622367318528405,2.5,0.4349788133065164,2.718294630101454e-5,2.819114979111663e-5
3.0,4.0,0.0,0.5,2.0,6.0,0.07776722168814833,3.0,0.5824858892728559,0.0014466698733643327,0.0011188966024296397
4.0,4.0,0.0,0.5,2.0,6.0,1.0459692848194095e-6,2.0,0.6192296710495286,2.5000254083234285e-7,1.4706476946982846e-7
5.0,4.0,0.0,0.5,2.0,6.0,0.028727495067409622,2.0,0.43282206958913083,0.0008311850046691104,0.000548455161676909
6.0,4.0,0.0,0.5,2.0,6.0,6.034055105260727e-5,2.0,0.48986967638126555,1.5890962630213218e-5,1.0592372291519698e-5
7.0,4.0,0.0,0.5,2.0,6.0,0.013750392847094171,2.5,0.4483311804434106,0.00034782249996773796,0.0004062118658018264
8.0,4.0,0.0,0.5,2.0,6.0,4.031328129599675e-6,1.5,0.4695808112794829,1.136581788331022e-6,6.192349073526954e-7
9.0,4.0,0.0,0.5,2.0,6.0,0.0003487967956668303,2.5,0.41524788152235936,7.136451616799785e-6,1.2839095675205106e-5
10.0,4.0,0.0,0.5,2.0,6.0,0.016259145815743056,2.5,0.4329473760654258,0.00010113114503830816,0.00018251507857944092
